  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 361.5     69.9    244.25 0.902         0.0      0.0      0.0   4772         
 355.8     68.1    242.38 0.895         0.0      0.0      0.0   4795         
 351.2     66.4    240.74 0.889         0.0      0.0      0.0   4817         
 346.4     64.9    239.18 0.883         0.0      0.0      0.0   4840         
 341.5     63.3    237.55 0.877         0.0      0.0      0.0   4863         
 336.7     61.7    235.90 0.871         0.0      0.0      0.0   4885         
 331.3     59.7    234.00 0.864         0.0      0.0      0.0   4908         
 325.9     56.8    231.11 0.853         0.0      0.0      0.0   4931         
 320.8     54.1    228.41 0.843         0.0      0.0      0.0   4954         
 316.0     52.0    226.32 0.836         0.0      0.0      0.0   4977         
 310.4     49.8    224.16 0.828         0.0      0.0      0.0   5000         
 305.6     47.7    221.99 0.820         0.0      0.0      0.0   5023         
 300.2     46.1    220.38 0.814         0.0      0.0      0.0   5046         
 294.9     43.9    218.17 0.806         0.0      0.0      0.0   5069         
 289.9     41.8    216.15 0.798         0.0      0.0      0.0   5091         
 284.5     40.3    214.61 0.793         0.0      0.0      0.0   5114         
 279.2     38.3    212.63 0.785         0.0      0.0      0.0   5137         
 273.9     36.6    210.79 0.778         0.0      0.0      0.0   5160         
 268.4     35.1    209.29 0.773         0.0      0.0      0.0   5183         
 263.6     33.6    207.76 0.767         0.0      0.0      0.0   5205         
 258.7     32.1    206.25 0.762         0.0      0.0      0.0   5228         
 253.4     30.7    204.74 0.756         0.0      0.0      0.0   5251         
 248.1     29.4    203.48 0.751         0.0      0.0      0.0   5273         
 242.6     28.2    202.20 0.747         0.0      0.0      0.0   5296         
 237.4     26.6    200.60 0.741         0.0      0.0      0.0   5319         
 232.4     25.4    199.44 0.737         0.0      0.0      0.0   5342         
 227.2     24.0    198.04 0.731         0.0      0.0      0.0   5365         
 222.0     23.0    197.01 0.728         0.0      0.0      0.0   5387         
 216.8     21.9    195.92 0.724         0.0      0.0      0.0   5410         
 211.6     20.5    194.51 0.718         0.0      0.0      0.0   5433         
 206.2     19.8    193.81 0.716         0.0      0.0      0.0   5455         
 201.0     19.0    192.97 0.713         0.0      0.0      0.0   5478         
 195.3     17.5    191.48 0.707         0.0      0.0      0.0   5501         
 189.6     17.0    190.91 0.705         0.0      0.0      0.0   5524         
